accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
1.96,-3.43,9.81,-0.7,0.87,1.22,24.0
1.96,-3.43,9.81,-0.7,0.87,-1.22,24.0
1.96,-3.43,9.81,-0.7,0.87,-0.61,24.0
1.96,-3.43,9.81,-0.7,0.87,0.17,24.0
1.96,-3.43,9.81,-0.7,0.87,0.17,24.0
1.96,-3.43,9.81,-0.7,0.87,0.17,24.0
1.96,-3.43,9.81,-0.7,0.87,0.17,24.0
1.96,-3.43,9.81,-0.7,0.87,0.17,24.0
1.96,-3.43,9.81,-0.7,0.87,0.17,24.0
1.96,-3.43,9.81,-0.7,1.57,0.17,24.0
1.96,-3.43,9.81,-0.7,1.13,0.17,24.0
1.96,-3.43,9.81,-0.7,-1.22,0.17,24.0
1.96,-3.43,9.81,-0.7,-1.48,0.17,24.0
1.96,-3.43,9.81,-0.7,-1.48,0.17,24.0
1.96,-3.43,9.81,1.92,-1.48,0.17,24.0
1.96,-3.43,9.81,1.92,-1.48,0.17,24.0
1.96,-3.43,9.81,1.92,-1.48,0.17,24.0
1.96,-3.43,9.81,1.92,-1.48,0.17,24.0
1.96,-3.43,9.81,1.92,-0.17,0.17,24.0
1.96,-3.43,9.81,1.92,1.13,0.17,24.0
1.96,-3.43,9.81,1.92,1.13,0.17,24.0
1.96,-3.43,9.81,1.92,1.13,-1.57,24.0
1.96,-3.43,9.81,1.92,1.13,-1.66,24.0
1.96,-3.43,9.81,1.92,1.13,-1.66,24.0
1.96,-3.43,9.81,1.92,0.7,-1.66,24.0
1.96,-3.43,9.81,1.92,-0.87,-1.66,24.0
1.96,-3.43,9.81,1.92,-0.87,-1.66,24.0
1.96,-3.43,9.81,1.92,-0.87,-1.66,24.0
1.96,-3.43,9.81,1.92,-0.87,-1.66,24.0
1.96,-3.43,9.81,-0.26,-0.87,-1.66,24.0
1.96,-3.43,9.81,-0.26,-0.87,-1.66,24.0
1.96,-3.43,9.81,-0.26,0.26,-1.66,24.0
1.96,-3.43,9.81,-0.26,0.26,-1.66,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.78,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.26,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.96,-0.09,24.0
1.96,-3.43,9.81,-0.26,0.96,-0.09,24.0
1.96,-3.43,9.81,-2.36,0.96,-0.09,24.0
1.96,-3.43,9.81,-2.36,0.96,-0.09,24.0
1.96,-3.43,9.81,-2.36,0.96,1.31,24.0
1.96,-3.43,9.81,-2.36,0.96,2.01,24.0
1.96,-3.43,9.81,-2.36,0.96,2.01,24.0
1.96,0.0,9.81,-2.36,0.96,2.01,24.0
1.96,5.88,9.81,-2.36,0.96,2.01,24.0
1.96,5.88,9.81,-2.36,0.96,2.01,24.0
-3.92,5.88,9.81,-2.36,0.96,2.01,24.0
-3.92,5.88,9.81,-2.36,0.96,2.01,24.0
-3.92,5.88,3.92,-2.36,0.96,2.01,24.0
-3.92,5.88,-3.43,-2.36,0.96,2.01,24.0
-3.92,5.88,-3.43,-2.36,0.96,2.01,24.0
-3.92,0.0,-3.43,-2.36,0.96,2.01,24.0
-3.92,4.41,-3.43,-2.36,0.96,2.01,24.0
-3.92,7.84,-3.43,-2.36,0.96,2.01,24.0
-3.92,7.84,-3.43,-2.36,0.96,2.01,24.0
3.92,7.84,-3.43,-2.36,0.96,2.01,24.0
3.92,7.84,-3.43,-2.36,0.96,2.01,24.0
3.92,7.84,-3.43,-2.36,0.96,2.01,24.0
3.92,7.84,1.96,-2.36,0.96,2.01,24.0
3.92,7.84,1.96,-2.36,0.96,2.01,24.0
3.92,7.84,1.96,-2.36,0.96,2.01,24.0
3.92,7.84,1.96,-2.36,0.96,2.01,24.0
3.92,7.84,1.96,-2.36,0.96,2.01,24.0
3.92,7.84,1.96,-2.36,0.96,2.01,24.0
